product,price,cnk,manufacturer
Bronchosedal Mucus Honing Citroen 300ml 20mg/ml,11.99,3706942,Johnson & Johnson
Bronchosedal Dextromethorp Sir 200ml,9.48,3010717,Johnson & Johnson
Sinutab Forte 500/60mg Comp 20,9.36,1727395,Johnson & Johnson
Dafalgan Forte 1g Bruistabletten 40,14.12,3391273,Dafalgan
Nurofen 400 Fastcaps Caps 30 X 400mg,11.89,3042082,Nurofen
Flamigel Tube 50g,13.74,0636050,Flenpharma
Daktarin Pulv Derm 1 X 20g 2%,6.36,0137851,Daktarin
D Cure Drinkbare Amp 12,14.40,2727105,Dcure
Xls Med. Maximum Strength Comp 120,104.99,3214897,Xlsmedical
Daktarin Spray Pulv Fl Pulv 8 Gr 2%,10.47,2051928,Daktarin
Strepfen 8.75mg Zuigtabletten 24 Zonder Suiker,8.93,3162542,Steradent
Otrivine Hydrat 1/1000 Spray 10ml,8.18,1619261,Gsk
Urinocol Zakjes Jongens -afvloeiing 20 227549a,49.00,0011882,B. Braun
Molicare Pr Mobile 5 Drops S 14 P/s,14.98,3604824,Hartmann
A.Vogel Dormeasan Forte 30 tabletten,19.79,2764066,A. Vogel
Xls Med. Vetbinder Comp 180,89.99,3027778,Xlsmedical
Molicare Pr Mobile 5 Drops l 14 P/s,17.42,3604840,Hartmann
Energie Tigra+ Men Comp 28,24.00,2453587,Fortepharma
Molicare Pr Mobile 6 Drops Xs 14 P/s,16.21,3604865,Hartmann
Vichy Cap Sol Ip50+ Stick Gev Zones 9g,10.35,2026805,Vichy
Molicare Pr Mobile 5 Drops Xl 14 P/s,22.12,3604857,Hartmann
Molicare Pr Mobile 5 Drops M 14 P/s,15.46,3604832,Hartmann
Molicare Pr Mobile 8 Drops l 14 P/s,21.06,3604931,Hartmann
Molicare Pr Mobile 10 Drops l 14 P/s,22.07,3604964,Hartmann
Molicare Pr Mobile 10 Drops M 14 P/s,20.45,3604956,Hartmann
Molicare Pr Mobile 8 Drops Xl 14 P/s,25.78,3604949,Hartmann
Widmer Sun Protection 50 N/parf Tube 25ml+lipstick,10.71,3420205,Louis Widmer
Molicare Pr Mobile 6 Drops S 14 P/s,16.68,3604873,Hartmann
Molicare Pr Mobile 10 Dropsxl 14 P/s,26.80,3604972,Hartmann
Molicare Pr Mobile 6 Drops Xl 14 P/s,24.97,3604907,Hartmann
Molicare Pr Mobile 8 Drops M 14 P/s,18.60,3604923,Hartmann
"Molicare Pr Lady Pad 0,5drops 28 P/s",2.95,3698966,Hartmann
Molicare Pr Mobile 6 Drops M 14 P/s,17.58,3604881,Hartmann
Molicare Pr Mobile 6 Drops l 14 P/s,19.49,3604899,Hartmann
Molicare Pr Mobile 8 Drops S 14 P/s,17.64,3604915,Hartmann
Molicare Pr Lady Pad 4 Drops 14 P/s,6.01,3699022,Hartmann
"Molicare Pr Lady Pad 4,5drops 14 P/s",6.23,3699030,Hartmann
Molicare Pr Lady Pad 2 Drops 14 P/s,3.81,3698990,Hartmann
Molicare Pr Lady Pad 5 Drops 14 P/s,8.12,3699048,Hartmann
"Molicare Pr Lady Pad 3,5drops 14 P/s",5.79,3699014,Hartmann
Molicare Pr Ladypants 7dropsl 7 P/s,10.01,3708039,Molicare
"Molicare Pr Lady Pad 1,5drops 14 P/s",3.17,3698982,Hartmann
Molicare Pr Ladypants 5dropsl 7 P/s,8.57,3708013,Molicare
Molicare Pr Ladypants 7dropsm 8 P/s,10.54,3708021,Molicare
Molicare Pr Ladypants 5dropsm 8 P/s,7.76,3708005,Molicare
Molicare Pr Lady Pad 3 Drops 14 P/s,4.58,3699006,Hartmann
Molicare Pr Lady Pad 1 Drop 14 P/s,2.39,3698974,Hartmann
Molicare Pr Men Pad 3 Drops 14 P/s,7.01,3698933,Hartmann
Molicare Pr Menpants 7drops l 7 P/s,10.39,3708070,Molicare
Tena Pants Discreet Medium 75-100cm 12 792300,14.83,1663806,Tena
Molicare Pr Menpants 5drops l 7 P/s,8.81,3708054,Molicare
Molicare Pr Menpants 7drops M 8 P/s,10.37,3708062,Molicare
Tena Pants Discreet Large 95-125cm 10 793300,14.83,1663814,Tena
Tena Lady Super 30 761730,16.79,2105245,Tena
Tena Bib Medium Serviette Wegwerp 150 720511,31.70,2654432,Tena
Molicare Pr Men Pad 4 Drops 14 P/s,7.23,3698941,Hartmann
Molicare Pr Men Pad 2 Drops 14 P/s,6.55,3698925,Hartmann
Molicare Pr Menpants 5drops M 8 P/s,8.70,3708047,Molicare
Molicare Pr Men Pad 5 Drops 14 P/s,9.04,3698958,Hartmann
Tena Bed 60x60cm 40 770119,15.98,3339496,Tena
Tena Proskin Zinc Cream 100ml,6.39,3984366,Tena
Tena Bed Plus 60x 90cm 20 770133,15.18,3008554,Tena
Tena Slip Junior 32 700028,21.59,3399391,Tena
Tena Bed Plus Wings 80x180cm 20 771102,22.89,3034352,Tena
Tena Silhouette Noir Low Waist l 795621,13.48,3920477,Tena
Tena Proskin Comfort Plus 46,27.98,4105524,Tena
Tena Pants Bariatric Plus Xxl 12,37.59,3879012,Tena
Tena Proskin Comfort Extra 40,30.39,4105532,Tena
Tena Silhouette Noir Low Waist M 10 795516,12.79,3920469,Tena
Tena Proskin Slip Plus Extra Small 30,19.99,4103677,Tena
Tena Bed 60x90cm 35 770120,25.59,3339504,Tena
Tena Proskin Comfort Super 36,35.19,4105540,Tena
Tena Proskin Comfort Maxi 28,33.59,4105557,Tena
Tena Proskin Slip Plus Small 30,20.79,4105565,Tena
Tena Proskin Slip Super Small 30,24.79,4105599,Tena
Tena Proskin Slip Maxi Large 24,34.39,4105649,Tena
Tena Proskin Slip Super Medium 28,29.59,4105607,Tena
Tena Proskin Slip Maxi Small 24,22.63,4105623,Tena
Tena Proskin Flex Plus Small 30,22.39,4105656,Tena
Tena Proskin Slip Super Large 28,35.99,4105615,Tena
Tena Proskin Slip Maxi Medium 24,28.31,4105631,Tena
Tena Proskin Slip Plus Medium 30,27.19,4105573,Tena
Tena Proskin Slip Plus Large 30,33.59,4105581,Tena
Tena Proskin Flex Ultima Medium 20,27.99,4105722,Tena
Tena Proskin Flex Super Large 30,38.39,4105748,Tena
Tena Proskin Flex Plus Large 30,33.59,4105730,Tena
Tena Proskin Flex Maxi Small 22,22.39,4105672,Tena
Tena Proskin Flex Maxi Large 22,31.96,4105755,Tena
